"Rango","cvegeo","Municipio o Demarcación territorial","Entidad","Valor"
"1","32041","El Salvador","Zacatecas","50"
"1","08064","El Tule","Chihuahua","5"
"1","25008","Elota","Sinaloa","176"
"1","20029","Eloxochitlán de Flores Magón","Oaxaca","87"
"1","13020","Eloxochitlán","Hidalgo","20"
"2","21061","Eloxochitlán","Puebla","916"
"1","07123","Emiliano Zapata","Chiapas","218"
"1","13021","Emiliano Zapata","Hidalgo","26"
"1","17008","Emiliano Zapata","Morelos","359"
"1","27007","Emiliano Zapata","Tabasco","91"
"1","29046","Emiliano Zapata","Tlaxcala","6"
"1","30065","Emiliano Zapata","Veracruz de Ignacio de la Llave","429"
"1","26025","Empalme","Sonora","138"
"1","14035","Encarnación de Díaz","Jalisco","139"
"4","02001","Ensenada","Baja California","6077"
"1","21062","Epatlán","Puebla","57"
"1","13022","Epazoyucan","Hidalgo","185"
"1","16031","Epitacio Huerta","Michoacán de Ocampo","133"
"1","16032","Erongarícuaro","Michoacán de Ocampo","100"
"1","05008","Escobedo","Coahuila de Zaragoza","43"
"1","25009","Escuinapa","Sinaloa","667"
"2","07032","Escuintla","Chiapas","708"
"1","04009","Escárcega","Campeche","329"
"1","29012","Españita","Tlaxcala","31"
"1","21063","Esperanza","Puebla","59"
"2","30066","Espinal","Veracruz de Ignacio de la Llave","1885"
"1","31032","Espita","Yucatán","37"
"1","26026","Etchojoa","Sonora","375"
"1","14036","Etzatlán","Jalisco","16"
"1","22007","Ezequiel Montes","Querétaro","300"
"1","23002","Felipe Carrillo Puerto","Quintana Roo","570"
"1","30067","Filomeno Mata","Veracruz de Ignacio de la Llave","486"
"2","12030","Florencio Villarreal","Guerrero","1060"
"1","30068","Fortín","Veracruz de Ignacio de la Llave","569"
"1","05009","Francisco I. Madero","Coahuila de Zaragoza","278"
"1","13023","Francisco I. Madero","Hidalgo","104"
"1","07033","Francisco León","Chiapas","33"
"2","21064","Francisco Z. Mena","Puebla","1136"
"1","20032","Fresnillo de Trujano","Oaxaca","60"
"2","32010","Fresnillo","Zacatecas","1002"
"2","07034","Frontera Comalapa","Chiapas","1589"
"1","07035","Frontera Hidalgo","Chiapas","339"
"1","05010","Frontera","Coahuila de Zaragoza","109"
"1","26027","Fronteras","Sonora","20"
"1","16033","Gabriel Zamora","Michoacán de Ocampo","165"
"1","08023","Galeana","Chihuahua","2"
"2","19017","Galeana","Nuevo León","1512"
"1","19018","García","Nuevo León","449"
"1","32012","Genaro Codina","Zacatecas","79"
"1","19020","General Bravo","Nuevo León","79"
"1","12031","General Canuto A. Neri","Guerrero","262"
"1","05011","General Cepeda","Coahuila de Zaragoza","60"
"1","32013","General Enrique Estrada","Zacatecas","10"
"2","19021","General Escobedo","Nuevo León","921"
"1","21065","General Felipe Ángeles","Puebla","82"
"1","32014","General Francisco R. Murguía","Zacatecas","50"
"2","12032","General Heliodoro Castillo","Guerrero","1479"
"1","26070","General Plutarco Elías Calles","Sonora","66"
"1","32016","General Pánfilo Natera","Zacatecas","102"
"1","10006","General Simón Bolívar","Durango","152"
"1","19022","General Terán","Nuevo León","146"
"1","19023","General Treviño","Nuevo León","19"
"1","19024","General Zaragoza","Nuevo León","340"
"1","19025","General Zuazua","Nuevo León","104"
"1","28012","González","Tamaulipas","359"
"1","08026","Gran Morelos","Chihuahua","5"
"1","26028","Granados","Sonora","0"
"1","14038","Guachinango","Jalisco","21"
"3","08027","Guachochi","Chihuahua","3774"
"1","14039","Guadalajara","Jalisco","222"
"3","24017","Guadalcázar","San Luis Potosí","3248"
"1","20033","Guadalupe Etla","Oaxaca","14"
"1","10008","Guadalupe Victoria","Durango","64"
"1","21067","Guadalupe Victoria","Puebla","21"
"1","20034","Guadalupe de Ramírez","Oaxaca","32"
"2","08029","Guadalupe y Calvo","Chihuahua","1034"
"1","08028","Guadalupe","Chihuahua","19"
"1","19026","Guadalupe","Nuevo León","529"
"1","21066","Guadalupe","Puebla","125"
"2","32017","Guadalupe","Zacatecas","760"
"1","10009","Guanaceví","Durango","104"
"2","11015","Guanajuato","Guanajuato","1945"
"2","25011","Guasave","Sinaloa","1432"
"2","26029","Guaymas","Sonora","734"
"1","08030","Guazapares","Chihuahua","259"
"1","20035","Guelatao de Juárez","Oaxaca","0"
"1","08031","Guerrero","Chihuahua","439"
"1","05012","Guerrero","Coahuila de Zaragoza","11"
"1","28014","Guerrero","Tamaulipas","160"
"1","20036","Guevea de Humboldt","Oaxaca","14"
"2","09005","Gustavo A. Madero","Ciudad de México","755"
"1","28015","Gustavo Díaz Ordaz","Tamaulipas","89"
"2","30069","Gutiérrez Zamora","Veracruz de Ignacio de la Llave","1395"
"1","08025","Gómez Farías","Chihuahua","6"
"1","14079","Gómez Farías","Jalisco","24"
"1","28011","Gómez Farías","Tamaulipas","147"
"1","10007","Gómez Palacio","Durango","265"
"1","28013","Güémez","Tamaulipas","209"
"1","31033","Halachó","Yucatán","239"
"1","04005","Hecelchakán","Campeche","201"
"1","21068","Hermenegildo Galeana","Puebla","44"
"2","26030","Hermosillo","Sonora","1685"
"1","20028","Heroica Ciudad de Ejutla de Crespo","Oaxaca","580"
"2","20039","Heroica Ciudad de Huajuapan de León","Oaxaca","1269"
"2","20397","Heroica Ciudad de Tlaxiaco","Oaxaca","1251"
"1","20549","Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca","Oaxaca","104"
"1","08032","Hidalgo del Parral","Chihuahua","151"
"1","05013","Hidalgo","Coahuila de Zaragoza","12"
"1","10010","Hidalgo","Durango","15"
"2","16034","Hidalgo","Michoacán de Ocampo","1398"
"1","19047","Hidalgo","Nuevo León","52"
"1","28016","Hidalgo","Tamaulipas","204"
"2","30070","Hidalgotitlán","Veracruz de Ignacio de la Llave","2010"
"1","19028","Higueras","Nuevo León","5"
"1","31034","Hocabá","Yucatán","30"
"1","31035","Hoctún","Yucatán","25"
"1","31036","Homún","Yucatán","121"
"1","07125","Honduras de la Sierra","Chiapas","45"
"1","21057","Honey","Puebla","79"
"1","04006","Hopelchén","Campeche","154"
"1","14040","Hostotipaquillo","Jalisco","66"
"1","26031","Huachinera","Sonora","5"
"1","18005","Huajicori","Nayarit","492"
"1","19029","Hualahuises","Nuevo León","29"
"1","29013","Huamantla","Tlaxcala","295"
"1","12033","Huamuxtitlán","Guerrero","116"
"1","16036","Huandacareo","Michoacán de Ocampo","14"
"1","16037","Huaniqueo","Michoacán de Ocampo","33"
"1","32018","Huanusco","Zacatecas","8"
"1","11016","Huanímaro","Guanajuato","32"
"1","21069","Huaquechula","Puebla","134"
"1","13024","Huasca de Ocampo","Hidalgo","95"
"2","26033","Huatabampo","Sonora","784"
"1","21070","Huatlatlauca","Puebla","62"
"1","30071","Huatusco","Veracruz de Ignacio de la Llave","623"
"2","21071","Huauchinango","Puebla","1455"
"1","20040","Huautepec","Oaxaca","573"
"2","20041","Huautla de Jiménez","Oaxaca","2210"
"2","13025","Huautla","Hidalgo","2015"
"1","30072","Huayacocotla","Veracruz de Ignacio de la Llave","523"
"1","13026","Huazalingo","Hidalgo","48"
"2","13027","Huehuetla","Hidalgo","1423"
"1","21072","Huehuetla","Puebla","455"
"1","21073","Huehuetlán el Chico","Puebla","120"
"1","21150","Huehuetlán el Grande","Puebla","93"
"2","24018","Huehuetlán","San Luis Potosí","1075"
"1","15035","Huehuetoca","México","584"
"2","07037","Huehuetán","Chiapas","1603"
"1","08033","Huejotitán","Chihuahua","3"
"1","21074","Huejotzingo","Puebla","225"
"1","14042","Huejuquilla el Alto","Jalisco","178"
"2","13028","Huejutla de Reyes","Hidalgo","2134"
"1","14041","Huejúcar","Jalisco","8"
"1","16038","Huetamo","Michoacán de Ocampo","585"
"1","30073","Hueyapan de Ocampo","Veracruz de Ignacio de la Llave","629"
"1","17036","Hueyapan","Morelos","35"
"1","21075","Hueyapan","Puebla","28"
"1","29014","Hueyotlipan","Tlaxcala","28"
"1","15036","Hueypoxtla","México","299"
"1","21076","Hueytamalco","Puebla","300"
"1","21077","Hueytlalpan","Puebla","303"
"1","31037","Huhí","Yucatán","5"
"1","13029","Huichapan","Hidalgo","230"
"1","30074","Huiloapan de Cuauhtémoc","Veracruz de Ignacio de la Llave","34"
"4","27008","Huimanguillo","Tabasco","7786"
"1","22008","Huimilpan","Querétaro","86"
"1","16039","Huiramba","Michoacán de Ocampo","23"
"1","07039","Huitiupán","Chiapas","331"
"2","17009","Huitzilac","Morelos","1278"
"1","21078","Huitzilan de Serdán","Puebla","83"
"1","21079","Huitziltepec","Puebla","210"
"3","12034","Huitzuco de los Figueroa","Guerrero","3057"
"2","15037","Huixquilucan","México","1713"
"2","07040","Huixtla","Chiapas","1076"
"2","07038","Huixtán","Chiapas","957"
"1","31038","Hunucmá","Yucatán","203"
"1","26032","Huásabas","Sonora","1"
"1","26034","Huépac","Sonora","0"
"1","08034","Ignacio Zaragoza","Chihuahua","15"
"2","30075","Ignacio de la Llave","Veracruz de Ignacio de la Llave","1108"
"4","12035","Iguala de la Independencia","Guerrero","6728"
"1","12036","Igualapa","Guerrero","423"
"2","30076","Ilamatlán","Veracruz de Ignacio de la Llave","1633"
"1","12081","Iliatenco","Guerrero","148"
"1","26035","Imuris","Sonora","47"
"1","16040","Indaparapeo","Michoacán de Ocampo","149"
"1","10011","Indé","Durango","23"
"2","11017","Irapuato","Guanajuato","2131"
"1","16041","Irimbo","Michoacán de Ocampo","209"
"1","15038","Isidro Fabela","México","28"
"1","23003","Isla Mujeres","Quintana Roo","375"
"1","30077","Isla","Veracruz de Ignacio de la Llave","403"
"1","19030","Iturbide","Nuevo León","19"
"1","21081","Ixcamilpa de Guerrero","Puebla","182"
"1","21082","Ixcaquixtla","Puebla","48"
"1","12037","Ixcateopan de Cuauhtémoc","Guerrero","114"
"1","30078","Ixcatepec","Veracruz de Ignacio de la Llave","681"
"1","30079","Ixhuacán de los Reyes","Veracruz de Ignacio de la Llave","30"
"1","30081","Ixhuatlancillo","Veracruz de Ignacio de la Llave","418"
"3","30083","Ixhuatlán de Madero","Veracruz de Ignacio de la Llave","2837"
"1","30080","Ixhuatlán del Café","Veracruz de Ignacio de la Llave","573"
"2","30082","Ixhuatlán del Sureste","Veracruz de Ignacio de la Llave","818"
"1","07042","Ixhuatán","Chiapas","12"
"1","31039","Ixil","Yucatán","15"
"1","30084","Ixmatlahuacan","Veracruz de Ignacio de la Llave","224"
"1","13030","Ixmiquilpan","Hidalgo","550"
"1","20065","Ixpantepec Nieves","Oaxaca","13"
"1","21083","Ixtacamaxtitlán","Puebla","284"
"1","07043","Ixtacomitán","Chiapas","102"
"1","29015","Ixtacuixtla de Mariano Matamoros","Tlaxcala","225"
"1","30085","Ixtaczoquitlán","Veracruz de Ignacio de la Llave","541"
"1","07044","Ixtapa","Chiapas","153"
"3","15039","Ixtapaluca","México","3008"
"1","15040","Ixtapan de la Sal","México","659"
"1","15041","Ixtapan del Oro","México","44"
"1","07045","Ixtapangajoya","Chiapas","55"
"1","29016","Ixtenco","Tlaxcala","12"
"1","21084","Ixtepec","Puebla","125"
"3","15042","Ixtlahuaca","México","2305"
"1","14044","Ixtlahuacán de los Membrillos","Jalisco","71"
"1","14045","Ixtlahuacán del Río","Jalisco","170"
"1","06006","Ixtlahuacán","Colima","39"
"1","20042","Ixtlán de Juárez","Oaxaca","7"
"1","18006","Ixtlán del Río","Nayarit","48"
"1","16042","Ixtlán","Michoacán de Ocampo","16"
"1","31040","Izamal","Yucatán","57"
"1","09006","Iztacalco","Ciudad de México","93"
"2","09007","Iztapalapa","Ciudad de México","1278"
"2","21085","Izúcar de Matamoros","Puebla","717"
"1","13031","Jacala de Ledezma","Hidalgo","504"
"1","16043","Jacona","Michoacán de Ocampo","119"
"1","18007","Jala","Nayarit","146"
"1","30086","Jalacingo","Veracruz de Ignacio de la Llave","450"
"1","27009","Jalapa","Tabasco","407"
"1","30088","Jalcomulco","Veracruz de Ignacio de la Llave","19"
"1","14046","Jalostotitlán","Jalisco","37"
"2","27010","Jalpa de Méndez","Tabasco","1451"
"1","32019","Jalpa","Zacatecas","88"
"2","22009","Jalpan de Serra","Querétaro","756"
"2","21086","Jalpan","Puebla","909"
"1","15044","Jaltenco","México","11"
"1","13032","Jaltocán","Hidalgo","98"
"1","30090","Jamapa","Veracruz de Ignacio de la Llave","255"
"1","14047","Jamay","Jalisco","44"
"1","08035","Janos","Chihuahua","5"
"1","17010","Jantetelco","Morelos","516"
"1","11018","Jaral del Progreso","Guanajuato","60"
"1","28017","Jaumave","Tamaulipas","238"
"1","32020","Jerez","Zacatecas","90"
"1","11019","Jerécuaro","Guanajuato","409"
"2","30091","Jesús Carranza","Veracruz de Ignacio de la Llave","1103"
"1","01005","Jesús María","Aguascalientes","286"
"1","14048","Jesús María","Jalisco","32"
"2","15045","Jilotepec","México","2017"
"1","30093","Jilotepec","Veracruz de Ignacio de la Llave","343"
"1","14049","Jilotlán de los Dolores","Jalisco","75"
"1","15046","Jilotzingo","México","37"
"1","32021","Jiménez del Teul","Zacatecas","63"
"1","08036","Jiménez","Chihuahua","107"
"1","05014","Jiménez","Coahuila de Zaragoza","44"
"1","16044","Jiménez","Michoacán de Ocampo","54"
"1","28018","Jiménez","Tamaulipas","19"
"1","16045","Jiquilpan","Michoacán de Ocampo","151"
"2","07046","Jiquipilas","Chiapas","832"
"1","15047","Jiquipilco","México","470"
"1","07047","Jitotol","Chiapas","74"
"2","17011","Jiutepec","Morelos","804"
"1","14050","Jocotepec","Jalisco","110"
"1","15048","Jocotitlán","México","504"
"1","17012","Jojutla","Morelos","379"
"1","21087","Jolalpan","Puebla","140"
"1","17013","Jonacatepec de Leandro Valle","Morelos","122"
"1","21088","Jonotla","Puebla","41"
"1","27011","Jonuta","Tabasco","552"
"1","21089","Jopala","Puebla","161"
"1","15049","Joquicingo","México","90"
"2","30169","José Azueta","Veracruz de Ignacio de la Llave","1407"
"2","12079","José Joaquín de Herrera","Guerrero","811"
"1","23006","José María Morelos","Quintana Roo","401"
"1","16113","José Sixto Verduzco","Michoacán de Ocampo","87"
"1","32022","Juan Aldama","Zacatecas","59"
"1","21090","Juan C. Bonilla","Puebla","367"
"1","21091","Juan Galindo","Puebla","13"
"1","21092","Juan N. Méndez","Puebla","87"
"1","12039","Juan R. Escudero","Guerrero","534"
"1","30094","Juan Rodríguez Clara","Veracruz de Ignacio de la Llave","562"
"1","14051","Juanacatlán","Jalisco","43"
"1","32023","Juchipila","Zacatecas","74"
"1","30095","Juchique de Ferrer","Veracruz de Ignacio de la Llave","86"
"1","15050","Juchitepec","México","158"
"1","14052","Juchitlán","Jalisco","12"
"2","20043","Juchitán de Zaragoza","Oaxaca","776"
"1","12080","Juchitán","Guerrero","468"
"1","08038","Julimes","Chihuahua","12"
"1","16047","Jungapeo","Michoacán de Ocampo","123"
"1","13033","Juárez Hidalgo","Hidalgo","21"
"3","08037","Juárez","Chihuahua","2313"
"2","07048","Juárez","Chiapas","783"
"1","05015","Juárez","Coahuila de Zaragoza","5"
"1","16046","Juárez","Michoacán de Ocampo","169"
"1","19031","Juárez","Nuevo León","442"
"3","30089","Jáltipan","Veracruz de Ignacio de la Llave","2547"
"1","31041","Kanasín","Yucatán","547"
"1","31042","Kantunil","Yucatán","8"
"1","31043","Kaua","Yucatán","19"
"1","31044","Kinchil","Yucatán","17"
"1","31045","Kopomá","Yucatán","2"
"1","30016","La Antigua","Veracruz de Ignacio de la Llave","50"
"1","14018","La Barca","Jalisco","83"
"1","26021","La Colorada","Sonora","5"
"1","20017","La Compañía","Oaxaca","144"
"2","07020","La Concordia","Chiapas","960"
"1","08016","La Cruz","Chihuahua","4"
"1","07036","La Grandeza","Chiapas","269"
"1","16035","La Huacana","Michoacán de Ocampo","370"
"1","14043","La Huerta","Jalisco","179"
"2","07041","La Independencia","Chiapas","753"
"1","07050","La Libertad","Chiapas","212"
"2","09008","La Magdalena Contreras","Ciudad de México","802"
"1","29048","La Magdalena Tlaltelulco","Tlaxcala","3"
"1","21095","La Magdalena Tlatlauquitepec","Puebla","4"
"1","14057","La Manzanilla de la Paz","Jalisco","5"
"2","13040","La Misión","Hidalgo","949"
"2","03003","La Paz","Baja California Sur","2184"
"4","15070","La Paz","México","6047"
"1","20069","La Pe","Oaxaca","54"
"1","30127","La Perla","Veracruz de Ignacio de la Llave","139"
"1","16069","La Piedad","Michoacán de Ocampo","242"
"1","20076","La Reforma","Oaxaca","10"
"1","20556","La Trinidad Vista Hermosa","Oaxaca","0"
"3","07099","La Trinitaria","Chiapas","3409"
"1","12068","La Unión de Isidoro Montes de Oca","Guerrero","663"
"1","18019","La Yesca","Nayarit","364"
"1","21093","Lafragua","Puebla","9"
"1","14053","Lagos de Moreno","Jalisco","517"
"1","16048","Lagunillas","Michoacán de Ocampo","11"
"1","24019","Lagunillas","San Luis Potosí","183"
"1","05016","Lamadrid","Coahuila de Zaragoza","1"
"1","19032","Lampazos de Naranjo","Nuevo León","29"
"2","22010","Landa de Matamoros","Querétaro","1425"
"1","30096","Landero y Coss","Veracruz de Ignacio de la Llave","6"
"1","07049","Larráinzar","Chiapas","332"
"3","30061","Las Choapas","Veracruz de Ignacio de la Llave","3889"
"4","07052","Las Margaritas","Chiapas","5991"
"1","30107","Las Minas","Veracruz de Ignacio de la Llave","8"
"2","07075","Las Rosas","Chiapas","1418"
"1","30132","Las Vigas de Ramírez","Veracruz de Ignacio de la Llave","486"
"1","12040","Leonardo Bravo","Guerrero","173"
"1","30097","Lerdo de Tejada","Veracruz de Ignacio de la Llave","84"
"1","10012","Lerdo","Durango","281"
"1","15051","Lerma","México","382"
"5","11020","León","Guanajuato","15707"
"1","21094","Libres","Puebla","186"
"1","19033","Linares","Nuevo León","413"
"1","28019","Llera","Tamaulipas","266"
"1","13034","Lolotla","Hidalgo","380"
"1","20044","Loma Bonita","Oaxaca","586"
"1","03009","Loreto","Baja California Sur","179"
"1","32024","Loreto","Zacatecas","86"
"1","19003","Los Aldamas","Nuevo León","12"
"4","03008","Los Cabos","Baja California Sur","8624"
"1","19027","Los Herreras","Nuevo León","15"
"1","19042","Los Ramones","Nuevo León","58"
"1","21118","Los Reyes de Juárez","Puebla","194"
"2","16075","Los Reyes","Michoacán de Ocampo","1750"
"1","30137","Los Reyes","Veracruz de Ignacio de la Llave","229"
"1","32025","Luis Moya","Zacatecas","8"
"2","15123","Luvianos","México","1103"
"2","16052","Lázaro Cárdenas","Michoacán de Ocampo","912"
"1","23007","Lázaro Cárdenas","Quintana Roo","288"
"1","29047","Lázaro Cárdenas","Tlaxcala","7"
"1","08039","López","Chihuahua","10"
"4","27012","Macuspana","Tabasco","9468"
"1","08040","Madera","Chihuahua","84"
"1","16049","Madero","Michoacán de Ocampo","211"
"1","20045","Magdalena Apasco","Oaxaca","36"
"1","20046","Magdalena Jaltepec","Oaxaca","160"
"1","20048","Magdalena Mixtepec","Oaxaca","2"
"1","20049","Magdalena Ocotlán","Oaxaca","57"
"1","20050","Magdalena Peñasco","Oaxaca","111"
"1","20051","Magdalena Teitipac","Oaxaca","516"
"1","20052","Magdalena Tequisistlán","Oaxaca","86"
"1","20053","Magdalena Tlacotepec","Oaxaca","23"
"1","20562","Magdalena Yodocono de Porfirio Díaz","Oaxaca","5"
"1","20054","Magdalena Zahuatlán","Oaxaca","1"
"1","14055","Magdalena","Jalisco","58"
"1","26036","Magdalena","Sonora","51"
"1","30098","Magdalena","Veracruz de Ignacio de la Llave","16"
"1","08041","Maguarichi","Chihuahua","87"
"1","28020","Mainero","Tamaulipas","9"
"1","15052","Malinalco","México","346"
"1","12041","Malinaltepec","Guerrero","475"
"2","30099","Maltrata","Veracruz de Ignacio de la Llave","870"
"1","31046","Mama","Yucatán","43"
"1","30100","Manlio Fabio Altamirano","Veracruz de Ignacio de la Llave","72"
"1","08042","Manuel Benavides","Chihuahua","16"
"1","11008","Manuel Doblado","Guanajuato","207"
"1","06007","Manzanillo","Colima","312"
"1","31047","Maní","Yucatán","13"
"2","07051","Mapastepec","Chiapas","1556"
"1","10013","Mapimí","Durango","275"
"2","16050","Maravatío","Michoacán de Ocampo","797"
"1","07115","Maravilla Tenejapa","Chiapas","501"
"1","16051","Marcos Castellanos","Michoacán de Ocampo","35"
"1","30101","Mariano Escobedo","Veracruz de Ignacio de la Llave","246"
"1","20055","Mariscala de Juárez","Oaxaca","70"
"1","12077","Marquelia","Guerrero","541"
"1","07116","Marqués de Comillas","Chiapas","581"
"3","30102","Martínez de la Torre","Veracruz de Ignacio de la Llave","2882"
"1","19034","Marín","Nuevo León","9"
"1","14058","Mascota","Jalisco","13"
"1","08043","Matachí","Chihuahua","13"
"1","08044","Matamoros","Chihuahua","23"
"1","05017","Matamoros","Coahuila de Zaragoza","330"
"3","28022","Matamoros","Tamaulipas","3792"
"2","24020","Matehuala","San Luis Potosí","1703"
"2","24057","Matlapa","San Luis Potosí","1009"
"2","20057","Matías Romero Avendaño","Oaxaca","1382"
"1","31048","Maxcanú","Yucatán","72"
"1","31049","Mayapán","Yucatán","30"
"1","14059","Mazamitla","Jalisco","10"
"1","07053","Mazapa de Madero","Chiapas","147"
"1","32026","Mazapil","Zacatecas","535"
"1","21096","Mazapiltepec de Juárez","Puebla","4"
"1","29017","Mazatecochco de José María Morelos","Tlaxcala","9"
"1","17014","Mazatepec","Morelos","24"
"1","20058","Mazatlán Villa de Flores","Oaxaca","285"
"2","25012","Mazatlán","Sinaloa","1086"
"2","07054","Mazatán","Chiapas","940"
"1","26037","Mazatán","Sonora","12"
"1","30103","Mecatlán","Veracruz de Ignacio de la Llave","548"
"1","30104","Mecayapan","Veracruz de Ignacio de la Llave","105"
"2","30105","Medellín de Bravo","Veracruz de Ignacio de la Llave","1214"
"1","15053","Melchor Ocampo","México","85"
"1","19035","Melchor Ocampo","Nuevo León","5"
"1","32027","Melchor Ocampo","Zacatecas","45"
"1","08045","Meoqui","Chihuahua","64"
"1","20037","Mesones Hidalgo","Oaxaca","32"
"1","07055","Metapa","Chiapas","139"
"1","13035","Metepec","Hidalgo","75"
"1","15054","Metepec","México","282"
"1","12043","Metlatónoc","Guerrero","152"
"1","13037","Metztitlán","Hidalgo","569"
"3","02002","Mexicali","Baja California","2715"
"1","15055","Mexicaltzingo","México","67"
"2","24021","Mexquitic de Carmona","San Luis Potosí","1423"
"1","14060","Mexticacán","Jalisco","15"
"1","07124","Mezcalapa","Chiapas","316"
"1","32028","Mezquital del Oro","Zacatecas","29"
"3","10014","Mezquital","Durango","4564"
"2","14061","Mezquitic","Jalisco","1373"
"1","17015","Miacatlán","Morelos","89"
"2","20059","Miahuatlán de Porfirio Díaz","Oaxaca","1148"
"1","30106","Miahuatlán","Veracruz de Ignacio de la Llave","8"
"1","19036","Mier y Noriega","Nuevo León","389"
"1","28024","Mier","Tamaulipas","58"
"1","28025","Miguel Alemán","Tamaulipas","28"
"1","32029","Miguel Auza","Zacatecas","21"
"1","09016","Miguel Hidalgo","Ciudad de México","109"
"3","09009","Milpa Alta","Ciudad de México","4107"
"1","19037","Mina","Nuevo León","96"
"1","06008","Minatitlán","Colima","64"
"3","30108","Minatitlán","Veracruz de Ignacio de la Llave","4678"
"1","13051","Mineral de la Reforma","Hidalgo","591"
"1","13038","Mineral del Chico","Hidalgo","185"
"1","13039","Mineral del Monte","Hidalgo","380"
"1","28026","Miquihuana","Tamaulipas","235"
"2","30109","Misantla","Veracruz de Ignacio de la Llave","1125"
"1","07056","Mitontic","Chiapas","682"
"1","20060","Mixistlán de la Reforma","Oaxaca","34"
"1","13041","Mixquiahuala de Juárez","Hidalgo","146"
"2","30110","Mixtla de Altamirano","Veracruz de Ignacio de la Llave","1384"
"1","21097","Mixtla","Puebla","9"
"1","14062","Mixtlán","Jalisco","15"
"1","12044","Mochitlán","Guerrero","90"
"1","31051","Mocochá","Yucatán","9"
"1","25013","Mocorito","Sinaloa","543"
"1","24022","Moctezuma","San Luis Potosí","467"
"1","26038","Moctezuma","Sonora","2"
"1","13042","Molango de Escamilla","Hidalgo","137"
"1","21098","Molcaxac","Puebla","41"
"1","30111","Moloacán","Veracruz de Ignacio de la Llave","503"
"1","32030","Momax","Zacatecas","2"
"1","05018","Monclova","Coahuila de Zaragoza","424"
"1","20061","Monjas","Oaxaca","170"
"1","32031","Monte Escobedo","Zacatecas","44"
"1","07117","Montecristo de Guerrero","Chiapas","38"
"1","19038","Montemorelos","Nuevo León","225"
"2","19039","Monterrey","Nuevo León","762"
"4","16053","Morelia","Michoacán de Ocampo","6462"
"1","08046","Morelos","Chihuahua","224"
"1","05019","Morelos","Coahuila de Zaragoza","10"
"1","15056","Morelos","México","651"
"1","16054","Morelos","Michoacán de Ocampo","33"
"1","32032","Morelos","Zacatecas","38"
"1","08047","Moris","Chihuahua","28"
"1","11021","Moroleón","Guanajuato","66"
"2","07057","Motozintla","Chiapas","1173"
"1","31052","Motul","Yucatán","168"
"1","32033","Moyahua de Estrada","Zacatecas","27"
"1","03002","Mulegé","Baja California Sur","566"
"1","31053","Muna","Yucatán","28"
"1","31054","Muxupip","Yucatán","4"
"1","29011","Muñoz de Domingo Arenas","Tlaxcala","23"
"1","12042","Mártir de Cuilapan","Guerrero","623"
"1","20056","Mártires de Tacubaya","Oaxaca","16"
"1","28023","Méndez","Tamaulipas","174"
"2","31050","Mérida","Yucatán","2090"
"1","16055","Múgica","Michoacán de Ocampo","398"
"1","05020","Múzquiz","Coahuila de Zaragoza","129"
"1","27013","Nacajuca","Tabasco","567"
"1","26039","Naco","Sonora","26"
"1","26041","Nacozari de García","Sonora","43"
"1","05021","Nadadores","Coahuila de Zaragoza","10"
"2","16056","Nahuatzen","Michoacán de Ocampo","1057"
"1","08048","Namiquipa","Chihuahua","32"
"1","29021","Nanacamilpa de Mariano Arista","Tlaxcala","28"
"1","30206","Nanchital de Lázaro Cárdenas del Río","Veracruz de Ignacio de la Llave","468"
"1","30112","Naolinco","Veracruz de Ignacio de la Llave","143"
"1","30113","Naranjal","Veracruz de Ignacio de la Llave","80"
"1","30013","Naranjos Amatlán","Veracruz de Ignacio de la Llave","528"
"1","20062","Natividad","Oaxaca","0"
"1","29023","Natívitas","Tlaxcala","97"
"2","15057","Naucalpan de Juárez","México","1117"
"1","21100","Naupan","Puebla","68"
"1","30114","Nautla","Veracruz de Ignacio de la Llave","228"
"1","21101","Nauzontla","Puebla","71"
"1","05022","Nava","Coahuila de Zaragoza","42"
"2","26042","Navojoa","Sonora","1004"
"2","25018","Navolato","Sinaloa","801"
"1","20063","Nazareno Etla","Oaxaca","83"
"1","10015","Nazas","Durango","44"
"1","21102","Nealtican","Puebla","5"
"1","20064","Nejapa de Madero","Oaxaca","89"
"1","15059","Nextlalpan","México","302"
"2","15058","Nezahualcóyotl","México","895"
"1","21103","Nicolás Bravo","Puebla","108"
"1","13043","Nicolás Flores","Hidalgo","95"
"3","15060","Nicolás Romero","México","4737"
"1","07058","Nicolás Ruíz","Chiapas","9"
"1","32034","Nochistlán de Mejía","Zacatecas","95"
"1","16057","Nocupétaro","Michoacán de Ocampo","157"
"3","26043","Nogales","Sonora","3394"
"1","30115","Nogales","Veracruz de Ignacio de la Llave","550"
"1","10016","Nombre de Dios","Durango","50"
"1","08049","Nonoava","Chihuahua","41"
"1","13044","Nopala de Villagrán","Hidalgo","229"
"1","15061","Nopaltepec","México","35"
"1","21104","Nopalucan","Puebla","66"
"1","32035","Noria de Ángeles","Zacatecas","110"
"1","08050","Nuevo Casas Grandes","Chihuahua","111"
"1","10039","Nuevo Ideal","Durango","29"
"1","28027","Nuevo Laredo","Tamaulipas","647"
"1","28028","Nuevo Morelos","Tamaulipas","25"
"1","16058","Nuevo Parangaricutiro","Michoacán de Ocampo","17"
"1","16059","Nuevo Urecho","Michoacán de Ocampo","25"
